Time (s), Geiger Counts (counts/sample)
0.200,10
0.400,9
0.600,15
0.800,9
1.000,12
1.200,12
1.400,14
1.600,11
1.800,10
2.000,9
2.200,16
2.400,11
2.600,7
2.800,11
3.000,19
3.200,13
3.400,7
3.600,9
3.800,19
4.000,14
4.200,8
4.400,11
4.600,5
4.800,17
5.000,11
5.200,15
5.400,17
5.600,7
5.800,13
6.000,15
6.200,9
6.400,14
6.600,15
6.800,15
7.000,6
7.200,7
7.400,15
7.600,15
7.800,13
8.000,9
8.200,14
8.400,13
8.600,12
8.800,8
9.000,12
9.200,10
9.400,18
9.600,15
9.800,6
10.000,14
10.200,15
10.400,9
10.600,10
10.800,17
11.000,12
11.200,15
11.400,15
11.600,12
11.800,7
12.000,5
12.200,12
12.400,13
12.600,12
12.800,11
13.000,12
13.200,14
13.400,10
13.600,9
13.800,8
14.000,8
14.200,11
14.400,10
14.600,14
14.800,13
15.000,9
15.200,9
15.400,8
15.600,15
15.800,15
16.000,9
16.200,14
16.400,13
16.600,10
16.800,17
17.000,10
17.200,12
17.400,11
17.600,10
17.800,7
18.000,16
18.200,16
18.400,13
18.600,16
18.800,7
19.000,10
19.200,10
19.400,12
19.600,10
19.800,10
20.000,15
20.200,9
20.400,13
20.600,12
20.800,9
21.000,15
21.200,11
21.400,11
21.600,9
21.800,15
22.000,18
22.200,11
22.400,14
22.600,9
22.800,13
23.000,11
23.200,14
23.400,10
23.600,14
23.800,12
24.000,11
24.200,13
24.400,8
24.600,15
24.800,16
25.000,9
25.200,14
25.400,12
25.600,12
25.800,15
26.000,10
26.200,8
26.400,10
26.600,11
26.800,11
27.000,12
27.200,12
27.400,11
27.600,9
27.800,16
28.000,22
28.200,12
28.400,16
28.600,12
28.800,13
29.000,11
29.200,8
29.400,15
29.600,15
29.800,18
30.000,23
30.200,13
30.400,16
30.600,17
30.800,10
31.000,5
31.200,11
31.400,13
31.600,14
31.800,15
32.000,13
32.200,10
32.400,14
32.600,17
32.800,7
33.000,7
33.200,11
33.400,9
33.600,13
33.800,9
34.000,11
34.200,20
34.400,17
34.600,8
34.800,10
35.000,12
35.200,14
35.400,9
35.600,20
35.800,11
36.000,9
36.200,9
36.400,19
36.600,12
36.800,13
37.000,13
37.200,13
37.400,14
37.600,9
37.800,11
38.000,16
38.200,11
38.400,12
38.600,9
38.800,15
39.000,11
39.200,9
39.400,10
39.600,11
39.800,14
40.000,14
40.200,15
40.400,10
40.600,19
40.800,22
41.000,10
41.200,7
41.400,16
41.600,10
41.800,13
42.000,16
42.200,13
42.400,8
42.600,16
42.800,13
43.000,13
43.200,14
43.400,15
43.600,9
43.800,12
44.000,15
44.200,17
44.400,7
44.600,10
44.800,8
45.000,7
45.200,8
45.400,11
45.600,12
45.800,11
46.000,12
46.200,11
46.400,11
46.600,10
46.800,10
47.000,15
47.200,15
47.400,8
47.600,12
47.800,14
48.000,10
48.200,11
48.400,10
48.600,18
48.800,10
49.000,10
49.200,16
49.400,10
49.600,9
49.800,8
50.000,9
50.200,12
50.400,12
50.600,16
50.800,11
51.000,10
51.200,8
51.400,9
51.600,10
51.800,9
52.000,10
52.200,14
52.400,11
52.600,9
52.800,7
53.000,8
53.200,7
53.400,16
53.600,7
53.800,17
54.000,12
54.200,11
54.400,11
54.600,14
54.800,19
55.000,9
55.200,12
55.400,17
55.600,12
55.800,11
56.000,10
56.200,13
56.400,11
56.600,6
56.800,11
57.000,10
57.200,9
57.400,9
57.600,8
57.800,8
58.000,15
58.200,17
58.400,17
58.600,13
58.800,13
59.000,11
59.200,11
59.400,12
59.600,11
59.800,14
60.000,6
60.200,9
60.400,13
60.600,9
60.800,12
