Time (s), Geiger Counts (counts/sample)
0.200,22
0.400,25
0.600,20
0.800,24
1.000,19
1.200,27
1.400,27
1.600,27
1.800,16
2.000,22
2.200,17
2.400,23
2.600,26
2.800,20
3.000,17
3.200,23
3.400,22
3.600,25
3.800,26
4.000,25
4.200,28
4.400,25
4.600,25
4.800,26
5.000,17
5.200,20
5.400,23
5.600,22
5.800,17
6.000,21
6.200,28
6.400,20
6.600,21
6.800,26
7.000,17
7.200,23
7.400,24
7.600,24
7.800,31
8.000,20
8.200,27
8.400,18
8.600,18
8.800,26
9.000,28
9.200,23
9.400,25
9.600,17
9.800,26
10.000,15
10.200,27
10.400,17
10.600,25
10.800,15
11.000,27
11.200,22
11.400,28
11.600,22
11.800,21
12.000,16
12.200,23
12.400,24
12.600,23
12.800,30
13.000,26
13.200,26
13.400,19
13.600,29
13.800,25
14.000,15
14.200,28
14.400,22
14.600,25
14.800,21
15.000,22
15.200,30
15.400,20
15.600,15
15.800,25
16.000,37
16.200,18
16.400,20
16.600,22
16.800,22
17.000,26
17.200,21
17.400,25
17.600,21
17.800,24
18.000,19
18.200,22
18.400,37
18.600,23
18.800,24
19.000,22
19.200,18
19.400,25
19.600,18
19.800,31
20.000,21
20.200,28
20.400,23
20.600,17
20.800,26
21.000,34
21.200,18
21.400,19
21.600,13
21.800,19
22.000,24
22.200,26
22.400,20
22.600,26
22.800,17
23.000,24
23.200,31
23.400,18
23.600,28
23.800,27
24.000,19
24.200,22
24.400,19
24.600,20
24.800,25
25.000,24
25.200,26
25.400,22
25.600,24
25.800,17
26.000,20
26.200,26
26.400,30
26.600,28
26.800,33
27.000,18
27.200,19
27.400,19
27.600,21
27.800,18
28.000,22
28.200,19
28.400,21
28.600,29
28.800,18
29.000,25
29.200,21
29.400,20
29.600,26
29.800,29
30.000,25
30.200,19
30.400,20
30.600,26
30.800,21
31.000,29
31.200,25
31.400,25
31.600,15
31.800,25
32.000,21
32.200,11
32.400,31
32.600,21
32.800,22
33.000,21
33.200,22
33.400,24
33.600,26
33.800,24
34.000,15
34.200,24
34.400,23
34.600,18
34.800,31
35.000,22
35.200,24
35.400,28
35.600,20
35.800,21
36.000,28
36.200,21
36.400,16
36.600,15
36.800,26
37.000,24
37.200,27
37.400,26
37.600,22
37.800,20
38.000,16
38.200,15
38.400,21
38.600,20
38.800,17
39.000,26
39.200,23
39.400,25
39.600,21
39.800,21
40.000,25
40.200,24
40.400,25
40.600,21
40.800,16
41.000,21
41.200,29
41.400,21
41.600,22
41.800,24
42.000,24
42.200,21
42.400,21
42.600,22
42.800,26
43.000,24
43.200,20
43.400,20
43.600,14
43.800,20
44.000,33
44.200,21
44.400,24
44.600,37
44.800,20
45.000,19
45.200,24
45.400,21
45.600,16
45.800,31
46.000,19
46.200,20
46.400,19
46.600,21
46.800,22
47.000,18
47.200,24
47.400,22
47.600,20
47.800,20
48.000,24
48.200,22
48.400,23
48.600,26
48.800,25
49.000,20
49.200,23
49.400,24
49.600,18
49.800,20
50.000,17
50.200,19
50.400,25
50.600,21
50.800,28
51.000,25
51.200,22
51.400,25
51.600,30
51.800,19
52.000,21
52.200,16
52.400,20
52.600,23
52.800,21
53.000,30
53.200,22
53.400,29
53.600,17
53.800,26
54.000,27
54.200,24
54.400,25
54.600,27
54.800,19
55.000,22
55.200,27
55.400,22
55.600,26
55.800,28
56.000,23
56.200,25
56.400,20
56.600,29
56.800,27
57.000,24
57.200,20
57.400,25
57.600,23
57.800,21
58.000,30
58.200,19
58.400,27
58.600,20
58.800,30
59.000,25
59.200,30
59.400,21
59.600,28
59.800,25
60.000,22
60.200,15
60.400,19
