Time (s), Geiger Counts (counts/sample)
0.200,25
0.400,29
0.600,25
0.800,21
1.000,26
1.200,26
1.400,15
1.600,26
1.800,26
2.000,29
2.200,30
2.400,19
2.600,22
2.800,28
3.000,28
3.200,22
3.400,11
3.600,18
3.800,24
4.000,31
4.200,19
4.400,23
4.600,24
4.800,25
5.000,21
5.200,26
5.400,24
5.600,22
5.800,29
6.000,19
6.200,31
6.400,24
6.600,27
6.800,22
7.000,32
7.200,19
7.400,20
7.600,21
7.800,26
8.000,26
8.200,26
8.400,32
8.600,22
8.800,22
9.000,20
9.200,29
9.400,25
9.600,21
9.800,20
10.000,29
10.200,23
10.400,25
10.600,20
10.800,26
11.000,23
11.200,25
11.400,18
11.600,18
11.800,24
12.000,32
12.200,20
12.400,20
12.600,21
12.800,23
13.000,26
13.200,18
13.400,17
13.600,21
13.800,21
14.000,24
14.200,18
14.400,23
14.600,28
14.800,13
15.000,15
15.200,18
15.400,34
15.600,19
15.800,19
16.000,23
16.200,24
16.400,29
16.600,29
16.800,17
17.000,29
17.200,23
17.400,18
17.600,19
17.800,23
18.000,23
18.200,20
18.400,20
18.600,22
18.800,25
19.000,22
19.200,25
19.400,22
19.600,23
19.800,19
20.000,28
20.200,25
20.400,27
20.600,26
20.800,23
21.000,27
21.200,20
21.400,33
21.600,22
21.800,16
22.000,26
22.200,22
22.400,25
22.600,20
22.800,21
23.000,17
23.200,24
23.400,32
23.600,18
23.800,26
24.000,26
24.200,22
24.400,24
24.600,20
24.800,25
25.000,21
25.200,24
25.400,30
25.600,22
25.800,21
26.000,22
26.200,23
26.400,23
26.600,19
26.800,24
27.000,20
27.200,20
27.400,18
27.600,27
27.800,23
28.000,24
28.200,18
28.400,24
28.600,18
28.800,25
29.000,30
29.200,38
29.400,17
29.600,21
29.800,27
30.000,25
30.200,29
30.400,25
30.600,20
30.800,23
31.000,22
31.200,23
31.400,22
31.600,29
31.800,17
32.000,15
32.200,23
32.400,31
32.600,24
